DateTime,Log Description,Action
2022-11-23 09:08:08.603904,Slave2 BMS Communication failure,Raised
2022-11-23 09:21:40.569554,Slave2 BMS Communication failure,Raised
2022-11-23 09:39:30.352176,Slave2 BMS Communication failure,Raised
2022-11-23 09:48:33.801275,Slave2 BMS Communication failure,Raised
2022-11-23 09:49:31.199476,Slave2 BMS Communication failure,Raised
2022-11-23 09:53:25.632668,Slave2 BMS Communication failure,Raised
2022-11-23 10:01:32.593284,Slave2 BMS Communication failure,Raised
2022-11-23 10:03:04.180359,Slave2 BMS Communication failure,Raised
2022-11-23 10:04:46.769514,Slave2 BMS Communication failure,Raised
2022-11-23 10:45:01.527296,Slave2 BMS Communication failure,Raised
2022-11-23 10:49:07.435614,Slave2 BMS Communication failure,Raised
2022-11-23 10:49:09.018108,Slave2 BMS Communication failure,Raised
2022-11-23 10:52:20.809317,Slave2 BMS Communication failure,Raised
2022-11-23 10:52:25.369883,Slave2 BMS Communication failure,Raised
2022-11-23 10:58:54.902586,Slave2 BMS Communication failure,Raised
2022-11-23 11:00:27.944816,Slave2 BMS Communication failure,Raised
2022-11-23 11:00:32.600930,Slave2 BMS Communication failure,Raised
2022-11-23 11:03:14.761228,Slave2 BMS Communication failure,Raised
2022-11-23 11:03:38.987150,Slave2 BMS Communication failure,Raised
2022-11-23 11:07:55.545470,Slave2 BMS Communication failure,Raised
2022-11-23 11:10:31.844595,Slave2 BMS Communication failure,Raised
2022-11-23 11:59:11.540202,Slave2 BMS Communication failure,Raised
2022-11-23 12:03:05.480745,Slave2 BMS Communication failure,Raised
2022-11-23 12:03:26.952702,Slave2 BMS Communication failure,Raised
2022-11-23 12:04:33.965042,Slave2 BMS Communication failure,Raised
2022-11-23 12:05:24.765865,Slave2 BMS Communication failure,Raised
2022-11-23 12:06:07.246150,Slave2 BMS Communication failure,Raised
2022-11-23 12:07:24.431245,Slave2 BMS Communication failure,Raised
2022-11-23 12:07:59.538465,Slave2 BMS Communication failure,Raised
2022-11-23 12:19:27.784717,Slave2 BMS Communication failure,Raised
2022-11-23 12:21:58.453482,Slave2 BMS Communication failure,Raised
2022-11-23 12:38:05.232927,Slave2 BMS Communication failure,Raised
2022-11-23 12:38:59.045495,Slave2 BMS Communication failure,Raised
2022-11-23 12:51:02.839202,Slave2 BMS Communication failure,Raised
2022-11-23 12:56:50.557059,Slave2 BMS Communication failure,Raised
2022-11-23 12:57:55.658950,Slave2 BMS Communication failure,Raised
2022-11-23 12:58:22.811466,Slave2 BMS Communication failure,Raised
2022-11-23 12:58:43.863608,Slave2 BMS Communication failure,Raised
2022-11-23 12:59:26.368549,Slave2 BMS Communication failure,Raised
2022-11-23 13:05:07.748437,Slave2 BMS Communication failure,Raised
2022-11-23 13:09:34.715085,Slave2 BMS Communication failure,Raised
2022-11-23 13:10:07.049133,Slave2 BMS Communication failure,Raised
2022-11-23 13:11:03.844387,Slave2 BMS Communication failure,Raised
2022-11-23 13:11:13.728147,Slave2 BMS Communication failure,Raised
2022-11-23 14:03:47.325463,BMS Reset by operator,N/A
2022-11-23 14:03:53.246311,BMS Reset by operator,N/A
2022-11-23 14:03:47.084511,Slave2 BMS Communication failure,Raised
2022-11-23 14:05:15.526168,Slave2 BMS Communication failure,Raised
2022-11-23 14:08:44.610318,Slave2 BMS Communication failure,Raised
2022-11-23 14:10:39.409706,Slave2 BMS Communication failure,Raised
2022-11-23 14:11:32.114093,Slave2 BMS Communication failure,Raised
2022-11-23 14:12:20.725482,Slave2 BMS Communication failure,Raised
2022-11-23 14:17:34.615349,Slave2 BMS Communication failure,Raised
2022-11-23 14:21:08.445439,Slave2 BMS Communication failure,Raised
2022-11-23 14:32:27.394450,Slave2 BMS Communication failure,Raised
2022-11-23 14:33:05.818047,Slave2 BMS Communication failure,Raised
2022-11-23 14:36:15.270277,Slave2 BMS Communication failure,Raised
2022-11-23 14:37:38.626759,Slave2 BMS Communication failure,Raised
2022-11-23 14:41:54.951994,Slave2 BMS Communication failure,Raised
2022-11-23 14:44:54.118682,Slave2 BMS Communication failure,Raised
2022-11-23 14:48:10.924069,Slave2 BMS Communication failure,Raised
2022-11-23 14:48:27.946761,Slave2 BMS Communication failure,Raised
2022-11-23 14:49:38.073879,Slave2 BMS Communication failure,Raised
2022-11-23 14:50:34.033477,Slave2 BMS Communication failure,Raised
2022-11-23 14:52:11.943717,Slave2 BMS Communication failure,Raised
2022-11-23 14:52:26.947829,Slave2 BMS Communication failure,Raised
2022-11-23 15:04:34.891482,Slave2 BMS Communication failure,Raised
2022-11-23 15:07:36.013591,Slave2 BMS Communication failure,Raised
2022-11-23 15:11:35.968506,Slave2 BMS Communication failure,Raised
2022-11-23 15:11:56.097402,Slave2 BMS Communication failure,Raised
2022-11-23 15:13:48.226679,Slave2 BMS Communication failure,Raised
2022-11-23 15:17:07.101130,Slave2 BMS Communication failure,Raised
2022-11-23 15:17:29.243701,Slave2 BMS Communication failure,Raised
2022-11-23 15:21:48.889358,Slave2 BMS Communication failure,Raised
2022-11-23 15:24:52.774104,Slave2 BMS Communication failure,Raised
2022-11-23 15:26:06.614562,Slave2 BMS Communication failure,Raised
2022-11-23 15:27:42.372579,Slave2 BMS Communication failure,Raised
2022-11-23 15:30:17.233575,Slave2 BMS Communication failure,Raised
2022-11-23 15:30:50.656796,Slave2 BMS Communication failure,Raised
2022-11-23 15:31:27.076819,Slave2 BMS Communication failure,Raised
2022-11-23 15:44:17.713602,Slave2 BMS Communication failure,Raised
2022-11-23 15:45:14.774595,Slave2 BMS Communication failure,Raised
2022-11-23 15:45:52.173388,Slave2 BMS Communication failure,Raised
2022-11-23 15:46:22.467113,Slave2 BMS Communication failure,Raised
2022-11-23 15:48:03.305915,Slave2 BMS Communication failure,Raised
2022-11-23 15:49:13.681723,Slave2 BMS Communication failure,Raised
2022-11-23 15:49:49.098196,Slave2 BMS Communication failure,Raised
2022-11-23 16:12:37.454265,Slave2 BMS Communication failure,Raised
