DateTime,Log Description,Action
2022-11-23 09:08:08.603904,Slave3 BMS Communication failure,Raised
2022-11-23 09:21:40.569554,Slave3 BMS Communication failure,Raised
2022-11-23 09:39:30.353174,Slave3 BMS Communication failure,Raised
2022-11-23 09:48:33.802269,Slave3 BMS Communication failure,Raised
2022-11-23 09:49:31.199476,Slave3 BMS Communication failure,Raised
2022-11-23 09:53:25.633668,Slave3 BMS Communication failure,Raised
2022-11-23 10:01:32.593284,Slave3 BMS Communication failure,Raised
2022-11-23 10:03:04.180359,Slave3 BMS Communication failure,Raised
2022-11-23 10:04:46.769514,Slave3 BMS Communication failure,Raised
2022-11-23 10:45:01.527296,Slave3 BMS Communication failure,Raised
2022-11-23 10:49:07.436620,Slave3 BMS Communication failure,Raised
2022-11-23 10:49:09.018108,Slave3 BMS Communication failure,Raised
2022-11-23 10:52:20.809317,Slave3 BMS Communication failure,Raised
2022-11-23 10:52:25.369883,Slave3 BMS Communication failure,Raised
2022-11-23 10:58:54.902586,Slave3 BMS Communication failure,Raised
2022-11-23 11:00:27.944816,Slave3 BMS Communication failure,Raised
2022-11-23 11:00:32.600930,Slave3 BMS Communication failure,Raised
2022-11-23 11:03:14.761228,Slave3 BMS Communication failure,Raised
2022-11-23 11:03:38.988168,Slave3 BMS Communication failure,Raised
2022-11-23 11:07:55.546464,Slave3 BMS Communication failure,Raised
2022-11-23 11:10:31.844595,Slave3 BMS Communication failure,Raised
2022-11-23 11:59:11.540202,Slave3 BMS Communication failure,Raised
2022-11-23 12:03:05.480745,Slave3 BMS Communication failure,Raised
2022-11-23 12:03:26.952702,Slave3 BMS Communication failure,Raised
2022-11-23 12:04:33.965042,Slave3 BMS Communication failure,Raised
2022-11-23 12:05:24.765865,Slave3 BMS Communication failure,Raised
2022-11-23 12:06:07.246150,Slave3 BMS Communication failure,Raised
2022-11-23 12:07:24.431245,Slave3 BMS Communication failure,Raised
2022-11-23 12:07:59.538465,Slave3 BMS Communication failure,Raised
2022-11-23 12:19:27.784717,Slave3 BMS Communication failure,Raised
2022-11-23 12:21:58.454516,Slave3 BMS Communication failure,Raised
2022-11-23 12:38:05.232927,Slave3 BMS Communication failure,Raised
2022-11-23 12:38:59.045495,Slave3 BMS Communication failure,Raised
2022-11-23 12:51:02.839202,Slave3 BMS Communication failure,Raised
2022-11-23 12:56:50.557059,Slave3 BMS Communication failure,Raised
2022-11-23 12:57:55.658950,Slave3 BMS Communication failure,Raised
2022-11-23 12:58:22.811466,Slave3 BMS Communication failure,Raised
2022-11-23 12:58:43.863608,Slave3 BMS Communication failure,Raised
2022-11-23 12:59:26.369555,Slave3 BMS Communication failure,Raised
2022-11-23 13:05:07.748437,Slave3 BMS Communication failure,Raised
2022-11-23 13:09:34.715085,Slave3 BMS Communication failure,Raised
2022-11-23 13:10:07.049133,Slave3 BMS Communication failure,Raised
2022-11-23 13:11:03.844387,Slave3 BMS Communication failure,Raised
2022-11-23 13:11:13.729227,Slave3 BMS Communication failure,Raised
2022-11-23 14:03:47.325463,BMS Reset by operator,N/A
2022-11-23 14:03:53.246311,BMS Reset by operator,N/A
2022-11-23 14:03:47.084511,Slave3 BMS Communication failure,Raised
2022-11-23 14:05:15.526168,Slave3 BMS Communication failure,Raised
2022-11-23 14:08:44.610318,Slave3 BMS Communication failure,Raised
2022-11-23 14:10:39.409706,Slave3 BMS Communication failure,Raised
