DateTime,Log Description,Action
2022-11-23 14:11:32.114093,Slave3 BMS Communication failure,Raised
2022-11-23 14:12:20.725482,Slave3 BMS Communication failure,Raised
2022-11-23 14:17:34.615349,Slave3 BMS Communication failure,Raised
2022-11-23 14:21:08.445439,Slave3 BMS Communication failure,Raised
2022-11-23 14:32:27.394450,Slave3 BMS Communication failure,Raised
2022-11-23 14:33:05.818047,Slave3 BMS Communication failure,Raised
2022-11-23 14:36:15.270277,Slave3 BMS Communication failure,Raised
2022-11-23 14:37:38.627764,Slave3 BMS Communication failure,Raised
2022-11-23 14:41:54.951994,Slave3 BMS Communication failure,Raised
2022-11-23 14:44:54.119682,Slave3 BMS Communication failure,Raised
2022-11-23 14:48:10.925069,Slave3 BMS Communication failure,Raised
2022-11-23 14:48:27.946761,Slave3 BMS Communication failure,Raised
2022-11-23 14:49:38.074908,Slave3 BMS Communication failure,Raised
2022-11-23 14:50:34.033477,Slave3 BMS Communication failure,Raised
2022-11-23 14:52:11.943717,Slave3 BMS Communication failure,Raised
2022-11-23 14:52:26.947829,Slave3 BMS Communication failure,Raised
2022-11-23 15:04:34.891482,Slave3 BMS Communication failure,Raised
2022-11-23 15:07:36.013591,Slave3 BMS Communication failure,Raised
2022-11-23 15:11:35.968506,Slave3 BMS Communication failure,Raised
2022-11-23 15:11:56.097402,Slave3 BMS Communication failure,Raised
2022-11-23 15:13:48.226679,Slave3 BMS Communication failure,Raised
2022-11-23 15:17:07.102130,Slave3 BMS Communication failure,Raised
2022-11-23 15:17:29.243701,Slave3 BMS Communication failure,Raised
2022-11-23 15:21:48.889358,Slave3 BMS Communication failure,Raised
2022-11-23 15:24:52.774104,Slave3 BMS Communication failure,Raised
2022-11-23 15:26:06.614562,Slave3 BMS Communication failure,Raised
2022-11-23 15:27:42.372579,Slave3 BMS Communication failure,Raised
2022-11-23 15:30:17.233575,Slave3 BMS Communication failure,Raised
2022-11-23 15:30:50.656796,Slave3 BMS Communication failure,Raised
2022-11-23 15:31:27.076819,Slave3 BMS Communication failure,Raised
2022-11-23 15:44:17.713602,Slave3 BMS Communication failure,Raised
2022-11-23 15:45:14.774595,Slave3 BMS Communication failure,Raised
2022-11-23 15:45:52.174388,Slave3 BMS Communication failure,Raised
2022-11-23 15:46:22.467113,Slave3 BMS Communication failure,Raised
2022-11-23 15:48:03.305915,Slave3 BMS Communication failure,Raised
2022-11-23 15:49:13.682740,Slave3 BMS Communication failure,Raised
2022-11-23 15:49:49.098196,Slave3 BMS Communication failure,Raised
2022-11-23 16:12:37.454265,Slave3 BMS Communication failure,Raised
